Correlation Table - 50 periods
https://www.mataf.net
Sun, 17 Sep 2023 03:22:32 +0000
pair1,pair2,5min,15min,1h,4h,day,week
AUDJPY,GBPAUD,-27.2,-33.3,-84.7,-85.9,-65.5,0
AUDJPY,GBPJPY,69.6,81,-33.8,-42.9,-18.7,0
AUDJPY,EURNZD,-59.4,-94.3,-66.8,-78.7,-48.1,0
AUDJPY,GBPNZD,-33.4,-1.2,-75.7,-80,-50.5,0
AUDJPY,CHFJPY,78.8,72.2,10.1,-29.3,-18,0
AUDJPY,CADJPY,47.7,31.8,89.3,92.6,8.3,0
AUDJPY,USDCAD,-66,-31.8,-67.5,-88.4,-42.5,0
AUDJPY,USDJPY,-2.4,5.4,72.4,34.3,-22,0
AUDJPY,USDCHF,-65.2,-64.5,65.4,77.1,-22.4,0
GBPCAD,EURUSD,82.5,-6.3,94.6,60.4,23.8,0
GBPCAD,GBPUSD,85.5,86.4,97.3,87.1,40.7,0
GBPCAD,NZDUSD,64.9,68.1,51.9,-55.7,2.3,0
GBPCAD,AUDUSD,43.5,73.8,-47.6,-79.3,-4.4,0
GBPCAD,NZDCAD,83.1,83.1,88.7,73.4,19.4,0
GBPCAD,AUDCAD,76,80.2,2.2,21.2,7.7,0
GBPCAD,NZDCHF,-1.7,49.5,-47.9,-86.9,-17.8,0
GBPCAD,EURCHF,-0.3,-65.8,83,-16.4,11.7,0
GBPCAD,AUDCHF,-70.1,56.5,-86.6,-92.7,-30.9,0
GBPCAD,NZDJPY,62,58.5,-7.6,-73.3,-13.5,0
GBPCAD,EURCAD,94.1,0.6,95.4,94.9,83.4,0
GBPCAD,EURGBP,-10.6,-82.9,26.4,-65.8,-50.4,0
GBPCAD,GBPCHF,6.6,87.7,94.9,70.3,66.5,0
GBPCAD,AUDJPY,27,65,-70.5,-89.2,-35.5,0
GBPCAD,GBPCAD,100,100,100,100,100,0
GBPCAD,CADCHF,-90.8,-78.6,-98.1,-97.6,-86.9,0
GBPCAD,AUDNZD,-80.4,49.9,-91.9,-81.4,-38.5,0
GBPCAD,EURJPY,77.2,-33.9,78.4,42.1,25.3,0
GBPCAD,EURAUD,64.2,-65.5,90.1,88.7,40.1,0
GBPCAD,GBPAUD,62.7,25.7,95.5,96.2,51.1,0
GBPCAD,GBPJPY,71.3,82.1,87.1,72.8,42.6,0
GBPCAD,EURNZD,1.3,-62.9,78.4,81.5,25.9,0
GBPCAD,GBPNZD,9.3,59.9,90.5,93,38.5,0
GBPCAD,CHFJPY,69,48,48.1,54.3,17.2,0
GBPCAD,CADJPY,-52.7,-24,-86.1,-84.4,-33.6,0
GBPCAD,USDCAD,37.8,6.1,79.6,89.4,15.3,0
GBPCAD,USDJPY,-40.6,-38.4,-59.6,-17.6,-6.3,0
GBPCAD,USDCHF,-73.9,-64.1,-90.9,-87.7,-25.6,0
CADCHF,EURUSD,-89.2,-17.3,-94.4,-53,-7.8,0
CADCHF,GBPUSD,-79.6,-48.8,-93.9,-76.3,-17.2,0
CADCHF,NZDUSD,-77.8,-38.8,-47.5,62.4,19.2,0
CADCHF,AUDUSD,-57.9,-46,51.7,84.2,23.1,0
CADCHF,NZDCAD,-92.3,-75.2,-86.3,-75,4.2,0
CADCHF,AUDCAD,-88,-71.1,1.7,-22.9,10.7,0
CADCHF,NZDCHF,2.3,-17.1,55.3,89.2,44.2,0
CADCHF,EURCHF,26.7,32.3,-82,22.9,10.9,0
CADCHF,AUDCHF,71.5,-29.2,90,94.7,52.3,0
CADCHF,NZDJPY,-66.4,-30.3,16.7,77.8,39.4,0
CADCHF,EURCAD,-96.6,-48.4,-95.9,-95.4,-81.5,0
CADCHF,EURGBP,-24.2,38.3,-33.4,57.6,29.6,0
CADCHF,GBPCHF,35.4,-39.3,-87,-53,-20.9,0
CADCHF,AUDJPY,-31.2,-38.1,75.2,92.7,46,0
CADCHF,GBPCAD,-90.8,-78.6,-98.1,-97.6,-86.9,0
CADCHF,CADCHF,100,100,100,100,100,0
CADCHF,AUDNZD,82.8,-41,91.8,82.1,17.2,0
CADCHF,EURJPY,-72.2,3.3,-76.6,-36.8,-39.6,0
CADCHF,EURAUD,-52.4,32.8,-91.6,-88.6,-56.9,0
CADCHF,GBPAUD,-33.5,-7.1,-94.8,-93.3,-59.3,0
CADCHF,GBPJPY,-53.5,-43.2,-80.4,-63.7,-46.5,0
CADCHF,EURNZD,14.7,26.7,-80.7,-81.1,-49.5,0
CADCHF,GBPNZD,21.7,-32.1,-89.4,-88.9,-53,0
CADCHF,CHFJPY,-73.8,-34,-45.3,-52.9,-37.8,0
CADCHF,CADJPY,60.7,54.8,89.6,88,19.6,0
CADCHF,USDCAD,-30.1,-42.2,-82,-95.1,-32.9,0
CADCHF,USDJPY,63.1,33.5,62.5,15.4,-10.9,0
CADCHF,USDCHF,87.4,48.6,91.9,83.6,13.4,0
AUDNZD,EURUSD,-71.8,-52.2,-87.8,-54,-39.8,0
AUDNZD,GBPUSD,-61,28,-91,-64.8,-44,0
AUDNZD,NZDUSD,-66.3,33.6,-51.3,38.7,-36.4,0
AUDNZD,AUDUSD,-35.3,59.8,56.8,76.9,-20.6,0
AUDNZD,NZDCAD,-87.1,62.8,-82.1,-74.5,-45.4,0
AUDNZD,AUDCAD,-71.3,79.9,22.1,-2.7,-14.7,0
AUDNZD,NZDCHF,-27,54.3,46,64.2,-33.7,0
AUDNZD,EURCHF,-8.2,-45,-73.4,1,-45.3,0
AUDNZD,AUDCHF,60.4,81.1,91.7,83.1,-5,0
AUDNZD,NZDJPY,-54.4,36.4,28,46.4,-17,0
AUDNZD,EURCAD,-87.7,-10.1,-87.3,-83.8,-41.8,0
AUDNZD,EURGBP,-25.8,-47.1,-22.7,38,5,0
AUDNZD,GBPCHF,15.7,42.3,-84.5,-49,-49.9,0
AUDNZD,AUDJPY,-9.6,62.2,87.2,80.5,45.5,0
AUDNZD,GBPCAD,-80.4,49.9,-91.9,-81.4,-38.5,0
AUDNZD,CADCHF,82.8,-41,91.8,82.1,17.2,0
AUDNZD,AUDNZD,100,100,100,100,100,0
AUDNZD,EURJPY,-55.9,-57,-61.2,-45.1,22.4,0
AUDNZD,EURAUD,-59.3,-70.8,-88.6,-83.7,-9.5,0
AUDNZD,GBPAUD,-39,-51.9,-94.9,-82.4,-9.5,0
AUDNZD,GBPJPY,-37.5,30.9,-66.7,-58,17.9,0
AUDNZD,EURNZD,19.4,-53.2,-70.8,-65.1,25,0
AUDNZD,GBPNZD,28.6,-0,-82.6,-67.7,21,0
AUDNZD,CHFJPY,-46.5,6.8,-20.4,-47.8,36,0
AUDNZD,CADJPY,67,-28.5,92.9,69.8,48.5,0
AUDNZD,USDCAD,-44.4,32.8,-69.1,-78.4,24.8,0
AUDNZD,USDJPY,55,3.6,76.1,7.7,37.9,0
AUDNZD,USDCHF,61.9,-4.7,89,67.9,34.2,0
EURJPY,EURUSD,88.2,79.7,88.3,56.5,-53.4,0
EURJPY,GBPUSD,90.9,-22.6,70.9,45.6,-54.1,0
EURJPY,NZDUSD,74.9,-23.5,18.8,-45.2,-74.6,0
EURJPY,AUDUSD,67.9,-37.7,-46.9,-54,-74.4,0
EURJPY,NZDCAD,68.7,-38,59.1,-3,-70.1,0
EURJPY,AUDCAD,68.8,-47.6,0.6,-53.9,-70.1,0
EURJPY,NZDCHF,2.5,-52.8,-54.9,-53.7,-79,0
EURJPY,EURCHF,-13.8,51.1,95.7,38.4,-21,0
EURJPY,AUDCHF,-43.4,-62.2,-68,-55.4,-77.1,0
EURJPY,NZDJPY,86.8,-19.5,13.1,0.1,-25.8,0
EURJPY,EURCAD,71.9,44.8,89.7,49.5,22.6,0
EURJPY,EURGBP,-10,53.3,68.7,-4.4,-9.8,0
EURJPY,GBPCHF,0.1,-47.5,74.7,43.7,-9.7,0
EURJPY,AUDJPY,71.4,-34.7,-37.3,-21.9,-9.6,0
EURJPY,GBPCAD,77.2,-33.9,78.4,42.1,25.3,0
EURJPY,CADCHF,-72.2,3.3,-76.6,-36.8,-39.6,0
EURJPY,AUDNZD,-55.9,-57,-61.2,-45.1,22.4,0
EURJPY,EURJPY,100,100,100,100,100,0
EURJPY,EURAUD,35,62.3,85.1,68.2,81.5,0
EURJPY,GBPAUD,36.7,23.8,75.2,58,74.9,0
EURJPY,GBPJPY,91.8,-20.5,89.7,78.8,91.2,0
EURJPY,EURNZD,-10.6,56.3,90.2,71.5,87,0
EURJPY,GBPNZD,-0,-7.4,81,57.5,80.4,0
EURJPY,CHFJPY,93.9,20.1,81.8,80.6,93.3,0
EURJPY,CADJPY,4.3,20.5,-45.3,2,75.1,0
EURJPY,USDCAD,-15.4,-15.3,76.4,29.5,73.4,0
EURJPY,USDJPY,-12.3,13.1,-7.3,49.3,79.9,0
EURJPY,USDCHF,-82.2,-11.9,-60.9,-40.4,58,0
EURAUD,EURUSD,34.7,54.7,93.7,70.7,-55.5,0
EURAUD,GBPUSD,30.5,-69.3,81.9,74.8,-52.6,0
EURAUD,NZDUSD,-0.4,-83.2,20.3,-66,-79.3,0
EURAUD,AUDUSD,-28.3,-92.8,-74.5,-87.6,-84.9,0
EURAUD,NZDCAD,30.3,-81.1,65.9,51.6,-72.2,0
EURAUD,AUDCAD,11.6,-84.9,-31.7,-14,-83.5,0
EURAUD,NZDCHF,-44,-89.8,-72.7,-89.1,-87.9,0
EURAUD,EURCHF,40.3,89.8,92.9,11.7,-31.7,0
EURAUD,AUDCHF,-87.4,-93.6,-95.5,-95.2,-96.2,0
EURAUD,NZDJPY,-5.2,-86.2,-31.9,-67.3,-66.2,0
EURAUD,EURCAD,65.6,57.4,96.7,94.4,31.6,0
EURAUD,EURGBP,7.4,86.7,58.1,-34,-23,0
EURAUD,GBPCHF,17.3,-71.7,80.2,56.2,-6.7,0
EURAUD,AUDJPY,-40.4,-95,-80.5,-86.3,-65.5,0
EURAUD,GBPCAD,64.2,-65.5,90.1,88.7,40.1,0
EURAUD,CADCHF,-52.4,32.8,-91.6,-88.6,-56.9,0
EURAUD,AUDNZD,-59.3,-70.8,-88.6,-83.7,-9.5,0
EURAUD,EURJPY,35,62.3,85.1,68.2,81.5,0
EURAUD,EURAUD,100,100,100,100,100,0
EURAUD,GBPAUD,84.4,35.6,96.1,94.5,95.1,0
EURAUD,GBPJPY,26.7,-74.4,76.6,73.1,80.2,0
EURAUD,EURNZD,66.6,97.4,95.5,96,94,0
EURAUD,GBPNZD,45,-1.5,94.7,89.8,90.5,0
EURAUD,CHFJPY,17.5,-53.5,46.7,63.8,81.3,0
EURAUD,CADJPY,-57.4,-19.8,-79.5,-68.4,52.2,0
EURAUD,USDCAD,67.7,21.4,87.2,81.6,80.2,0
EURAUD,USDJPY,-12.3,-0.2,-45.6,-0,73.4,0
EURAUD,USDCHF,-20.2,49.8,-76,-78.7,56.8,0
GBPAUD,EURUSD,22.1,40.2,91.1,59.6,-60.4,0
GBPAUD,GBPUSD,38.4,34.2,90.1,84.7,-49,0
GBPAUD,NZDUSD,-11,-9.7,32.4,-67,-79.8,0
GBPAUD,AUDUSD,-31.1,-23.9,-69.5,-87.6,-85.4,0
GBPAUD,NZDCAD,12.7,-27.6,74.1,55.8,-70.6,0
GBPAUD,AUDCAD,-2.7,-37,-27.7,-6.2,-81.8,0
GBPAUD,NZDCHF,-42.9,-47.2,-65.4,-92.8,-87.4,0
GBPAUD,EURCHF,40.4,4.9,83.1,-13.2,-45.4,0
GBPAUD,AUDCHF,-70.1,-54.5,-96.7,-97.4,-95.7,0
GBPAUD,NZDJPY,-3.5,-20.4,-31.2,-67.7,-66.2,0
GBPAUD,EURCAD,45.8,10.1,93.6,91.5,25.8,0
GBPAUD,EURGBP,-46.9,-15.7,33.3,-62.9,-51.9,0
GBPAUD,GBPCHF,58.8,33.3,88.7,69.7,11.3,0
GBPAUD,AUDJPY,-27.2,-33.3,-84.7,-85.9,-65.5,0
GBPAUD,GBPCAD,62.7,25.7,95.5,96.2,51.1,0
GBPAUD,CADCHF,-33.5,-7.1,-94.8,-93.3,-59.3,0
GBPAUD,AUDNZD,-39,-51.9,-94.9,-82.4,-9.5,0
GBPAUD,EURJPY,36.7,23.8,75.2,58,74.9,0
GBPAUD,EURAUD,84.4,35.6,96.1,94.5,95.1,0
GBPAUD,GBPAUD,100,100,100,100,100,0
GBPAUD,GBPJPY,50,28.3,78.7,83.1,86.5,0
GBPAUD,EURNZD,65.5,26.3,85.6,89,89.3,0
GBPAUD,GBPNZD,75.6,85.3,96.2,97.5,95.3,0
GBPAUD,CHFJPY,18.8,12.5,39.1,69,80.7,0
GBPAUD,CADJPY,-27.8,5.4,-86.8,-71.1,50.1,0
GBPAUD,USDCAD,51.4,-22,83.5,85.2,83,0
GBPAUD,USDJPY,16.8,-31.3,-57.8,0.6,74.1,0
GBPAUD,USDCHF,-8.7,-27.5,-83.3,-84.2,58.5,0
GBPJPY,EURUSD,71,-9.1,84.9,45.3,-61.5,0
GBPJPY,GBPUSD,88.2,96.7,84.6,75.3,-50.6,0
GBPJPY,NZDUSD,57.8,86,40.6,-56.5,-77.9,0
GBPJPY,AUDUSD,55.8,83.1,-31.9,-68.1,-78.7,0
GBPJPY,NZDCAD,49.1,66.4,73.7,21.4,-70.2,0
GBPJPY,AUDCAD,50.4,61.3,16.9,-31.3,-71.9,0
GBPJPY,NZDCHF,-2.2,58.7,-38.6,-74.8,-81.9,0
GBPJPY,EURCHF,-10.6,-85.7,82.1,-11.3,-41.1,0
GBPJPY,AUDCHF,-32.6,54.9,-64.4,-75.5,-81.5,0
GBPJPY,NZDJPY,76.9,84.6,27.4,-21.7,-32.9,0
GBPJPY,EURCAD,53.2,-45.4,85.2,61.9,17,0
GBPJPY,EURGBP,-48.3,-93.7,29.6,-65,-49.7,0
GBPJPY,GBPCHF,31,88.7,90.7,74.4,13.9,0
GBPJPY,AUDJPY,69.6,81,-33.8,-42.9,-18.7,0
GBPJPY,GBPCAD,71.3,82.1,87.1,72.8,42.6,0
GBPJPY,CADCHF,-53.5,-43.2,-80.4,-63.7,-46.5,0
GBPJPY,AUDNZD,-37.5,30.9,-66.7,-58,17.9,0
GBPJPY,EURJPY,91.8,-20.5,89.7,78.8,91.2,0
GBPJPY,EURAUD,26.7,-74.4,76.6,73.1,80.2,0
GBPJPY,GBPAUD,50,28.3,78.7,83.1,86.5,0
GBPJPY,GBPJPY,100,100,100,100,100,0
GBPJPY,EURNZD,-4.4,-79.5,73.8,71.7,84.2,0
GBPJPY,GBPNZD,26.6,51.8,82.3,85,90.4,0
GBPJPY,CHFJPY,85.5,81.3,80.9,90,93.1,0
GBPJPY,CADJPY,22,35.7,-50,-24.7,70.9,0
GBPJPY,USDCAD,-21.4,-46.1,69.4,54.1,79.9,0
GBPJPY,USDJPY,9.6,-14,-18.3,38.1,82,0
GBPJPY,USDCHF,-65.9,-82.8,-71.5,-64.9,61.5,0
EURNZD,EURUSD,-26.4,48.6,86.3,70.5,-67.7,0
EURNZD,GBPUSD,-22.3,-74.4,66.4,70.8,-66.2,0
EURNZD,NZDUSD,-63.3,-89.3,-2.1,-71.7,-89.6,0
EURNZD,AUDUSD,-69.4,-92.5,-77.2,-82.3,-89.7,0
EURNZD,NZDCAD,-44.9,-77.5,47.7,33.6,-85.7,0
EURNZD,AUDCAD,-53.7,-76.7,-34.3,-20.7,-86.2,0
EURNZD,NZDCHF,-78.6,-90.6,-81.4,-90.8,-97,0
EURNZD,EURCHF,43.4,93.4,94.3,16.8,-46.3,0
EURNZD,AUDCHF,-49.5,-86.5,-86.8,-89.6,-95.3,0
EURNZD,NZDJPY,-58.4,-92,-30.9,-69.8,-70.1,0
EURNZD,EURCAD,-2.9,65.3,91.2,88.2,16.5,0
EURNZD,EURGBP,-13.3,89,73.8,-27.7,-20.7,0
EURNZD,GBPCHF,35.4,-72.5,68,52.9,-23.5,0
EURNZD,AUDJPY,-59.4,-94.3,-66.8,-78.7,-48.1,0
EURNZD,GBPCAD,1.3,-62.9,78.4,81.5,25.9,0
EURNZD,CADCHF,14.7,26.7,-80.7,-81.1,-49.5,0
EURNZD,AUDNZD,19.4,-53.2,-70.8,-65.1,25,0
EURNZD,EURJPY,-10.6,56.3,90.2,71.5,87,0
EURNZD,EURAUD,66.6,97.4,95.5,96,94,0
EURNZD,GBPAUD,65.5,26.3,85.6,89,89.3,0
EURNZD,GBPJPY,-4.4,-79.5,73.8,71.7,84.2,0
EURNZD,EURNZD,100,100,100,100,100,0
EURNZD,GBPNZD,80.9,-1.7,91.4,90.1,95.3,0
EURNZD,CHFJPY,-23.8,-62.2,57.9,64,91.4,0
EURNZD,CADJPY,-7.4,-32.6,-61.7,-59.3,67.3,0
EURNZD,USDCAD,42.4,36,88.5,73.2,86.6,0
EURNZD,USDJPY,38,1,-20.8,3.7,84.4,0
EURNZD,USDCHF,35.2,58.4,-58.8,-74.6,67.1,0
GBPNZD,EURUSD,-26.3,14.6,86.4,56.3,-71.4,0
GBPNZD,GBPUSD,-1.6,57,81.7,84.6,-61.5,0
GBPNZD,NZDUSD,-56.1,9,13,-71.8,-89.4,0
GBPNZD,AUDUSD,-55.3,8.2,-75.1,-83.5,-90.2,0
GBPNZD,NZDCAD,-46.5,5.5,60.8,43.3,-83.1,0
GBPNZD,AUDCAD,-51.4,4.9,-30.7,-9,-84.8,0
GBPNZD,NZDCHF,-66.4,-22.3,-77.1,-95.3,-96.1,0
GBPNZD,EURCHF,32.2,-21.8,84.7,-16.7,-58.3,0
GBPNZD,AUDCHF,-31.8,-14.2,-93.2,-93.8,-95.5,0
GBPNZD,NZDJPY,-40.5,-1.8,-31.9,-69.8,-70.1,0
GBPNZD,EURCAD,-13.6,4.7,91.4,86,12.7,0
GBPNZD,EURGBP,-67.4,-47.1,40,-66.7,-49.4,0
GBPNZD,GBPCHF,69.9,64.7,84.8,71.2,-4,0
GBPNZD,AUDJPY,-33.4,-1.2,-75.7,-80,-50.5,0
GBPNZD,GBPCAD,9.3,59.9,90.5,93,38.5,0
GBPNZD,CADCHF,21.7,-32.1,-89.4,-88.9,-53,0
GBPNZD,AUDNZD,28.6,-0,-82.6,-67.7,21,0
GBPNZD,EURJPY,-0,-7.4,81,57.5,80.4,0
GBPNZD,EURAUD,45,-1.5,94.7,89.8,90.5,0
GBPNZD,GBPAUD,75.6,85.3,96.2,97.5,95.3,0
GBPNZD,GBPJPY,26.6,51.8,82.3,85,90.4,0
GBPNZD,EURNZD,80.9,-1.7,91.4,90.1,95.3,0
GBPNZD,GBPNZD,100,100,100,100,100,0
GBPNZD,CHFJPY,-10.8,18.6,51.9,70.8,90.2,0
GBPNZD,CADJPY,18.5,-10.3,-74.4,-65,63.9,0
GBPNZD,USDCAD,20.9,-6.5,89.1,79.8,89.1,0
GBPNZD,USDJPY,55.2,-34.3,-37.3,3.6,84.3,0
GBPNZD,USDCHF,32.2,-34.8,-71.4,-82.8,67.9,0
CHFJPY,EURUSD,87.6,10.1,54.5,21.1,-73.6,0
CHFJPY,GBPUSD,89.4,72.2,43.1,45.4,-70,0
CHFJPY,NZDUSD,80.1,76.1,8,-69.5,-88.9,0
CHFJPY,AUDUSD,78.8,67.1,-14.1,-72.1,-87.1,0
CHFJPY,NZDCAD,67.7,46.3,33.8,2.3,-85.5,0
CHFJPY,AUDCAD,72.4,37.9,23.9,-48.7,-82.2,0
CHFJPY,NZDCHF,-5.7,37.6,-35,-72.6,-92,0
CHFJPY,EURCHF,-46.7,-73.9,61.7,-23.7,-54.8,0
CHFJPY,AUDCHF,-41.9,29.3,-30,-70.2,-86.7,0
CHFJPY,NZDJPY,89,83.3,46.6,-8.6,-44.2,0
CHFJPY,EURCAD,64.8,-41.6,55.6,46.9,1.3,0
CHFJPY,EURGBP,-5.7,-63,43.9,-46.6,-28.5,0
CHFJPY,GBPCHF,-22.7,45.2,48.6,37.9,-23,0
CHFJPY,AUDJPY,78.8,72.2,10.1,-29.3,-18,0
CHFJPY,GBPCAD,69,48,48.1,54.3,17.2,0
CHFJPY,CADCHF,-73.8,-34,-45.3,-52.9,-37.8,0
CHFJPY,AUDNZD,-46.5,6.8,-20.4,-47.8,36,0
CHFJPY,EURJPY,93.9,20.1,81.8,80.6,93.3,0
CHFJPY,EURAUD,17.5,-53.5,46.7,63.8,81.3,0
CHFJPY,GBPAUD,18.8,12.5,39.1,69,80.7,0
CHFJPY,GBPJPY,85.5,81.3,80.9,90,93.1,0
CHFJPY,EURNZD,-23.8,-62.2,57.9,64,91.4,0
CHFJPY,GBPNZD,-10.8,18.6,51.9,70.8,90.2,0
CHFJPY,CHFJPY,100,100,100,100,100,0
CHFJPY,CADJPY,8.7,60,-1,-6.3,83.4,0
CHFJPY,USDCAD,-29.1,-58.3,47.6,50.1,85.7,0
CHFJPY,USDJPY,-21.7,13,31.9,65.7,91.4,0
CHFJPY,USDCHF,-91,-86.7,-34.1,-44.6,71.8,0
CADJPY,EURUSD,-28,-5.5,-78.9,-50.3,-82.6,0
CADJPY,GBPUSD,-11.7,23,-83.9,-64.3,-84.5,0
CADJPY,NZDUSD,-19.6,34.8,-49.5,34.5,-82.8,0
CADJPY,AUDUSD,8.2,20.8,51,58.7,-78.5,0
CADJPY,NZDCAD,-55.8,-22.9,-80.2,-86.9,-88.1,0
CADJPY,AUDCAD,-43.9,-26.7,13.7,-54.2,-80.6,0
CADJPY,NZDCHF,-1.3,18.8,44.4,64.3,-71.1,0
CADJPY,EURCHF,-14.3,-38.4,-61.4,14.1,-51.6,0
CADJPY,AUDCHF,57.6,1.3,86,72.1,-60.6,0
CADJPY,NZDJPY,7.7,48.3,41.8,86.7,-23.4,0
CADJPY,EURCAD,-66.1,-78.3,-80,-85.9,-47.3,0
CADJPY,EURGBP,-42.6,-23.7,-15.7,42,-12.5,0
CADJPY,GBPCHF,26.4,7.1,-73.5,-41.2,-37,0
CADJPY,AUDJPY,47.7,31.8,89.3,92.6,8.3,0
CADJPY,GBPCAD,-52.7,-24,-86.1,-84.4,-33.6,0
CADJPY,CADCHF,60.7,54.8,89.6,88,19.6,0
CADJPY,AUDNZD,67,-28.5,92.9,69.8,48.5,0
CADJPY,EURJPY,4.3,20.5,-45.3,2,75.1,0
CADJPY,EURAUD,-57.4,-19.8,-79.5,-68.4,52.2,0
CADJPY,GBPAUD,-27.8,5.4,-86.8,-71.1,50.1,0
CADJPY,GBPJPY,22,35.7,-50,-24.7,70.9,0
CADJPY,EURNZD,-7.4,-32.6,-61.7,-59.3,67.3,0
CADJPY,GBPNZD,18.5,-10.3,-74.4,-65,63.9,0
CADJPY,CHFJPY,8.7,60,-1,-6.3,83.4,0
CADJPY,CADJPY,100,100,100,100,100,0
CADJPY,USDCAD,-79.2,-88.1,-68.4,-83.9,71.2,0
CADJPY,USDJPY,67.3,39.5,86,54.8,90.3,0
CADJPY,USDCHF,21.8,-36,86.1,73.3,84.1,0
USDCAD,EURUSD,-9.2,-19.2,75.1,31.3,-89.6,0
USDCAD,GBPUSD,-15.6,-45,63.5,55.8,-84,0
USDCAD,NZDUSD,-24.9,-51.5,-4.5,-72.6,-96.1,0
USDCAD,AUDUSD,-52.6,-33.7,-77.5,-89.5,-96.7,0
USDCAD,NZDCAD,20,12.2,52.2,71.6,-85.4,0
USDCAD,AUDCAD,5.1,19.6,-23.8,21.8,-86,0
USDCAD,NZDCHF,-15,-23.2,-77.1,-84.7,-90,0
USDCAD,EURCHF,44.1,40.7,80.6,-30.5,-62.4,0
USDCAD,AUDCHF,-52.9,-2.5,-83.5,-90.1,-88,0
USDCAD,NZDJPY,-34.7,-49.8,-35.4,-74,-63.6,0
USDCAD,EURCAD,42.4,70.5,85.3,88.1,-7.3,0
USDCAD,EURGBP,15.5,34.4,51.5,-51.1,-39.2,0
USDCAD,GBPCHF,12.2,-24.3,68.5,36.9,-19.5,0
USDCAD,AUDJPY,-66,-31.8,-67.5,-88.4,-42.5,0
USDCAD,GBPCAD,37.8,6.1,79.6,89.4,15.3,0
USDCAD,CADCHF,-30.1,-42.2,-82,-95.1,-32.9,0
USDCAD,AUDNZD,-44.4,32.8,-69.1,-78.4,24.8,0
USDCAD,EURJPY,-15.4,-15.3,76.4,29.5,73.4,0
USDCAD,EURAUD,67.7,21.4,87.2,81.6,80.2,0
USDCAD,GBPAUD,51.4,-22,83.5,85.2,83,0
USDCAD,GBPJPY,-21.4,-46.1,69.4,54.1,79.9,0
USDCAD,EURNZD,42.4,36,88.5,73.2,86.6,0
USDCAD,GBPNZD,20.9,-6.5,89.1,79.8,89.1,0
USDCAD,CHFJPY,-29.1,-58.3,47.6,50.1,85.7,0
USDCAD,CADJPY,-79.2,-88.1,-68.4,-83.9,71.2,0
USDCAD,USDCAD,100,100,100,100,100,0
USDCAD,USDJPY,-8.2,8.6,-21.6,-0.5,94.5,0
USDCAD,USDCHF,19.7,58.7,-52.9,-62.6,89.2,0
USDJPY,EURUSD,-57.5,-49.3,-53.2,-44,-93.5,0
USDJPY,GBPUSD,-38.4,-38.9,-67.9,-32.1,-90.9,0
USDJPY,NZDUSD,-62.2,-26.6,-69.3,-48.3,-97.5,0
USDJPY,AUDUSD,-50.7,-21.6,14.1,-29.7,-95.8,0
USDJPY,NZDCAD,-66.9,-24.5,-70.7,-49.8,-93.3,0
USDJPY,AUDCAD,-65.8,-18,1.9,-66.4,-90.2,0
USDJPY,NZDCHF,-19.1,-5.3,5.6,-12.4,-88.2,0
USDJPY,EURCHF,29.9,-2.1,-25.9,-20.9,-62.3,0
USDJPY,AUDCHF,30.5,-2,56.8,-6.2,-82.1,0
USDJPY,NZDJPY,-29.5,5,31.3,45.4,-49.8,0
USDJPY,EURCAD,-57.2,-28.3,-47.5,-22.2,-26.6,0
USDJPY,EURGBP,-51.4,16.6,14.6,-1.5,-29.9,0
USDJPY,GBPCHF,58.3,-31.9,-50.3,-18.8,-29.1,0
USDJPY,AUDJPY,-2.4,5.4,72.4,34.3,-22,0
USDJPY,GBPCAD,-40.6,-38.4,-59.6,-17.6,-6.3,0
USDJPY,CADCHF,63.1,33.5,62.5,15.4,-10.9,0
USDJPY,AUDNZD,55,3.6,76.1,7.7,37.9,0
USDJPY,EURJPY,-12.3,13.1,-7.3,49.3,79.9,0
USDJPY,EURAUD,-12.3,-0.2,-45.6,-0,73.4,0
USDJPY,GBPAUD,16.8,-31.3,-57.8,0.6,74.1,0
USDJPY,GBPJPY,9.6,-14,-18.3,38.1,82,0
USDJPY,EURNZD,38,1,-20.8,3.7,84.4,0
USDJPY,GBPNZD,55.2,-34.3,-37.3,3.6,84.3,0
USDJPY,CHFJPY,-21.7,13,31.9,65.7,91.4,0
USDJPY,CADJPY,67.3,39.5,86,54.8,90.3,0
USDJPY,USDCAD,-8.2,8.6,-21.6,-0.5,94.5,0
USDJPY,USDJPY,100,100,100,100,100,0
USDJPY,USDCHF,60,38.2,78.2,38.1,93.9,0
USDCHF,EURUSD,-96.2,-34.1,-88.5,-78.1,-97.7,0
USDCHF,GBPUSD,-89.4,-86.9,-95.8,-93.7,-96.4,0
USDCHF,NZDUSD,-91.9,-84.2,-73.7,28.5,-91.6,0
USDCHF,AUDUSD,-85.6,-73.4,23.6,53.7,-90.3,0
USDCHF,NZDCAD,-84,-55.3,-92.3,-62.2,-87.5,0
USDCHF,AUDCAD,-87.1,-44.4,-13.6,-19.1,-85,0
USDCHF,NZDCHF,-3.1,-37.5,28.9,74.8,-73.2,0
USDCHF,EURCHF,50.8,68,-66.2,4.1,-60.1,0
USDCHF,AUDCHF,47.8,-28.3,76.3,79.1,-67.1,0
USDCHF,NZDJPY,-85.3,-75,0.7,65.1,-47.7,0
USDCHF,EURCAD,-77.6,24.7,-83.7,-84.3,-46.7,0
USDCHF,EURGBP,-17.4,67.2,-14.2,55,-26.8,0
USDCHF,GBPCHF,43.4,-58.2,-82,-68.4,-30.5,0
